WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000076428 0 0 0 0 0 0 0 0
ENSMUSG00000082949 0 0 0 0 0 0 0 0
ENSMUSG00000084402 0 0 0 0 0 0 0 0
ENSMUSG00000065053 0 0 0 0 0 0 0 0
ENSMUSG00000082254 0 0 0 0 0 0 0 0
ENSMUSG00000028284 3167 3305 2745 2731 72 66 77 76
ENSMUSG00000084201 1 0 0 7 1 4 2 3
ENSMUSG00000084440 21 23 6 15 0 0 0 1
ENSMUSG00000082398 0 0 0 0 0 0 0 0
ENSMUSG00000083872 0 0 0 0 0 0 0 0
ENSMUSG00000083564 0 0 0 0 0 0 0 0
ENSMUSG00000040270 569 891 705 676 26 19 30 26
ENSMUSG00000090278 16 7 1 4 2 3 2 2
ENSMUSG00000087049 14 17 11 0 1 0 1 0
ENSMUSG00000084611 0 0 9 0 0 0 0 2
ENSMUSG00000086150 10 2 4 8 1 1 0 0
ENSMUSG00000051056 0 0 0 0 0 0 0 0
ENSMUSG00000081879 0 0 0 0 0 0 0 0
ENSMUSG00000028282 2121 3040 2075 2402 50 54 51 80
ENSMUSG00000081592 0 3 0 0 0 0 1 1
ENSMUSG00000058006 7951 10947 5770 11638 320 345 255 440
ENSMUSG00000045854 501 427 427 415 6 12 4 14
ENSMUSG00000040183 177 226 47 77 1 8 3 0
ENSMUSG00000083565 0 0 0 0 0 0 0 0
ENSMUSG00000059634 583 537 688 569 16 22 21 16
ENSMUSG00000028278 38 33 36 22 0 3 0 3
ENSMUSG00000081025 0 0 0 0 0 0 0 0
ENSMUSG00000085037 281 330 242 231 7 18 10 7
ENSMUSG00000028277 2964 3036 2403 2462 48 35 41 60
ENSMUSG00000082851 0 1 0 0 0 0 0 0
ENSMUSG00000023267 0 8 0 0 0 0 0 0
ENSMUSG00000028280 0 0 0 0 0 0 0 0
ENSMUSG00000054659 123 95 7 0 2 1 1 0
ENSMUSG00000083887 0 0 0 0 0 0 0 0
ENSMUSG00000054679 38 33 0 0 2 0 0 0
ENSMUSG00000040128 5066 6345 5231 6278 209 271 239 357
ENSMUSG00000086127 2 0 0 5 1 0 0 1
ENSMUSG00000092716 0 0 0 0 0 0 1 0
ENSMUSG00000028274 1276 1373 1393 1200 40 30 31 37
ENSMUSG00000081206 10 0 0 0 0 0 1 1
ENSMUSG00000082909 0 0 0 0 0 0 0 0
ENSMUSG00000080502 0 0 0 0 0 0 0 0
ENSMUSG00000077397 0 0 0 0 0 0 0 0
ENSMUSG00000044288 16 95 17 13 0 1 0 2
ENSMUSG00000089414 0 0 0 0 0 0 0 0
ENSMUSG00000028264 50 61 22 8 1 0 0 0
ENSMUSG00000087841 0 0 0 0 0 0 0 0
ENSMUSG00000087602 0 0 0 0 0 0 0 0
ENSMUSG00000062554 1039 773 846 679 14 15 14 12
ENSMUSG00000081384 0 0 0 0 0 0 0 0
ENSMUSG00000082649 0 0 0 0 0 0 0 0
ENSMUSG00000087758 0 0 0 0 0 0 0 0
ENSMUSG00000084119 0 0 0 0 0 0 0 0
ENSMUSG00000059249 1399 831 1285 803 14 16 23 24
ENSMUSG00000028291 2595 2654 2710 2802 59 67 73 73
ENSMUSG00000040044 2764 2654 2167 2553 38 64 49 73
ENSMUSG00000028292 1786 1389 1208 1196 21 18 28 28
ENSMUSG00000028293 1165 1241 1283 1157 16 17 19 25
ENSMUSG00000088338 0 1 0 0 0 0 0 0
ENSMUSG00000028294 0 0 0 1 0 0 0 0
ENSMUSG00000071015 0 0 0 0 0 0 0 0
ENSMUSG00000028295 354 338 277 333 3 3 3 3
ENSMUSG00000039967 2864 4396 2374 4513 79 125 119 171
ENSMUSG00000082367 0 0 2 4 1 1 1 1
ENSMUSG00000028298 0 0 0 0 0 0 0 0
ENSMUSG00000085824 0 0 0 0 0 0 0 0
ENSMUSG00000083956 0 0 0 0 0 0 0 0
ENSMUSG00000082709 67 32 59 22 0 1 2 1
ENSMUSG00000073910 459 514 167 152 18 21 2 5
ENSMUSG00000086792 0 2 0 0 0 0 0 1
ENSMUSG00000042993 4 0 0 0 1 0 0 0
ENSMUSG00000028300 369 475 299 401 11 10 6 6
ENSMUSG00000082762 1660 1350 1441 1025 13 26 19 20
ENSMUSG00000084828 0 0 0 0 0 0 0 0
ENSMUSG00000083934 0 0 0 0 0 0 0 0
ENSMUSG00000083851 0 0 0 0 0 0 0 0
ENSMUSG00000045083 0 0 0 0 0 0 0 0
ENSMUSG00000082169 0 0 0 0 0 0 0 0
ENSMUSG00000084352 0 0 0 0 0 0 0 0
ENSMUSG00000077851 0 0 0 0 0 0 0 0
ENSMUSG00000078057 0 0 0 0 0 0 0 0
ENSMUSG00000087843 0 0 0 0 0 0 0 0
ENSMUSG00000052961 0 0 0 0 0 0 0 0
ENSMUSG00000084898 0 0 0 0 0 0 0 0
ENSMUSG00000080969 15 16 17 18 1 1 0 1
ENSMUSG00000082732 0 0 0 0 0 0 0 0
ENSMUSG00000086026 0 0 0 0 0 0 0 0
ENSMUSG00000088718 0 0 0 0 0 0 0 0
ENSMUSG00000087771 0 0 0 0 0 0 0 0
ENSMUSG00000083983 0 0 0 0 0 0 0 0
ENSMUSG00000080057 0 0 0 0 0 0 0 0
ENSMUSG00000082899 0 0 0 0 0 0 0 0
ENSMUSG00000084148 12 4 1 5 0 0 0 0
ENSMUSG00000085632 0 0 0 0 0 0 0 0
ENSMUSG00000081427 0 0 0 0 0 0 0 0
ENSMUSG00000065344 0 0 0 0 0 0 0 0
ENSMUSG00000082238 0 0 0 0 0 0 0 0
ENSMUSG00000077738 0 0 0 0 0 0 0 0
ENSMUSG00000090839 0 0 0 0 0 0 0 0
ENSMUSG00000028287 0 0 0 0 0 0 0 0
ENSMUSG00000082302 0 0 0 0 0 0 0 0
ENSMUSG00000083271 0 0 0 0 0 0 0 0
ENSMUSG00000082022 0 0 0 0 0 0 0 0
ENSMUSG00000088339 0 0 0 0 0 0 0 0
ENSMUSG00000084220 32 21 57 26 0 0 3 1
ENSMUSG00000088526 0 0 0 0 0 0 0 0
ENSMUSG00000083202 0 0 0 0 0 0 0 0
ENSMUSG00000081352 69 48 47 56 1 1 2 1
ENSMUSG00000028405 2349 2108 1898 1924 57 58 54 43
ENSMUSG00000040296 2515 2654 3171 2801 48 52 69 74
ENSMUSG00000036822 3046 3522 3290 3051 78 86 67 82
ENSMUSG00000028407 216 194 144 112 4 8 2 3
ENSMUSG00000071014 1630 1265 1226 996 31 20 25 20
ENSMUSG00000087137 0 0 0 0 0 0 0 0
ENSMUSG00000089585 0 0 0 5 0 0 0 0
ENSMUSG00000046593 162 156 149 92 0 5 1 1
ENSMUSG00000086355 0 0 0 0 0 0 0 0
ENSMUSG00000081720 5 3 0 7 0 0 0 0
ENSMUSG00000028411 1031 938 1102 974 25 20 16 30
ENSMUSG00000082008 0 0 10 3 0 0 1 1
ENSMUSG00000091395 29 48 46 37 1 1 0 0
ENSMUSG00000028410 1843 1826 2082 1789 56 73 64 96
ENSMUSG00000065452 0 0 2 0 0 0 0 0
ENSMUSG00000028409 4020 3328 3675 3031 81 49 68 75
ENSMUSG00000056412 1323 1173 1362 1185 29 19 21 24
ENSMUSG00000028413 4861 4518 4813 4765 102 91 116 141
ENSMUSG00000092809 0 0 0 0 0 0 0 0
ENSMUSG00000092865 0 0 0 0 0 0 0 2
ENSMUSG00000092971 0 0 0 0 0 1 1 0
ENSMUSG00000081309 504 437 395 354 11 10 11 10
ENSMUSG00000028415 6 26 6 7 0 0 1 0
ENSMUSG00000028416 6506 4933 4848 4263 144 102 92 136
ENSMUSG00000028419 1628 1704 2284 1770 35 46 34 48
ENSMUSG00000028423 5753 5959 4777 5275 119 96 115 152
ENSMUSG00000092862 5 0 0 0 0 0 0 0
ENSMUSG00000028427 15 9 2 0 0 0 0 0
ENSMUSG00000088154 0 0 0 0 0 0 0 0
ENSMUSG00000028435 20 12 0 0 0 0 0 0
ENSMUSG00000028430 7870 6789 6271 5847 176 154 135 152
ENSMUSG00000081437 0 0 0 0 0 0 0 0
ENSMUSG00000036241 4881 5033 5236 4930 107 113 123 117
ENSMUSG00000082186 17 16 4 10 1 2 7 5
ENSMUSG00000087730 0 6 7 0 0 0 0 0
ENSMUSG00000028433 10264 10441 8243 8308 238 246 216 260
ENSMUSG00000089265 17 19 15 24 2 0 0 0
ENSMUSG00000089308 14 2 0 8 0 1 0 0
ENSMUSG00000093562 0 0 0 0 0 0 0 0
ENSMUSG00000081866 0 0 3 14 2 0 4 0
ENSMUSG00000028436 4801 4479 4764 4864 91 98 118 125
ENSMUSG00000065873 10 20 2 20 0 0 0 2
ENSMUSG00000087938 20 14 0 31 0 0 1 0
ENSMUSG00000088528 5 0 0 0 0 0 0 0
ENSMUSG00000028437 1960 2084 1752 2045 40 51 29 48
ENSMUSG00000028438 1037 1026 762 1225 24 27 41 49
ENSMUSG00000028443 513 384 325 325 12 4 2 6
ENSMUSG00000046312 21 28 23 18 0 0 0 1
ENSMUSG00000028441 0 0 8 0 0 0 0 0
ENSMUSG00000036162 0 0 0 7 0 0 0 0
ENSMUSG00000028439 651 767 786 915 13 21 14 18
ENSMUSG00000087623 26 30 34 43 1 0 0 0
ENSMUSG00000061322 7 0 2 2 0 0 0 0
ENSMUSG00000028445 104 124 40 20 1 3 0 2
ENSMUSG00000084761 8 24 0 0 0 0 0 0
ENSMUSG00000087054 8 21 0 0 0 1 0 0
ENSMUSG00000028444 0 0 0 0 0 0 0 0
ENSMUSG00000073889 1977 1905 1630 1467 23 41 13 42
ENSMUSG00000036114 1022 1022 1034 716 21 21 13 9
ENSMUSG00000028447 1435 1466 1576 1295 26 21 32 33
ENSMUSG00000066224 0 0 0 0 0 1 0 0
ENSMUSG00000036078 2415 2163 1663 1711 67 43 32 40
ENSMUSG00000036073 1129 1082 1114 1160 14 20 23 24
ENSMUSG00000073888 164 216 110 135 5 6 2 2
ENSMUSG00000084194 1 8 0 0 0 0 0 0
ENSMUSG00000090604 0 0 0 0 0 1 0 0
ENSMUSG00000082962 16 0 0 3 0 0 0 0
ENSMUSG00000073886 6 3 0 0 0 0 0 0
ENSMUSG00000082984 2 5 0 3 0 0 0 0
ENSMUSG00000085730 5 3 0 0 0 0 0 0
ENSMUSG00000084010 6 39 0 0 1 4 0 0
ENSMUSG00000073884 2 0 0 0 0 0 0 0
ENSMUSG00000082902 3 9 0 1 1 0 0 0
ENSMUSG00000078747 11 20 0 5 0 1 0 0
ENSMUSG00000078746 0 0 0 0 0 0 0 0
ENSMUSG00000082414 0 0 0 0 0 0 0 0
ENSMUSG00000073883 0 0 0 0 0 0 0 0
ENSMUSG00000073882 0 0 0 0 0 0 0 0
ENSMUSG00000073881 0 0 0 0 0 0 0 0
ENSMUSG00000091938 0 5 0 0 0 0 0 0
ENSMUSG00000073880 0 0 0 0 0 0 0 0
ENSMUSG00000078744 0 0 0 0 0 0 0 0
ENSMUSG00000073878 0 0 0 0 0 0 0 0
ENSMUSG00000087577 0 0 0 0 0 0 0 0
ENSMUSG00000084036 0 0 0 0 0 0 0 0
ENSMUSG00000073877 3 0 0 0 0 0 0 0
ENSMUSG00000073876 0 0 0 0 0 0 0 0
ENSMUSG00000091473 0 0 0 0 0 0 0 0
ENSMUSG00000091542 78 59 0 15 2 1 0 1
ENSMUSG00000083929 0 0 0 0 0 0 0 0
ENSMUSG00000073875 0 0 0 0 0 0 0 0
ENSMUSG00000081989 0 13 0 0 0 1 0 0
ENSMUSG00000073879 6 19 1 7 2 0 0 0
ENSMUSG00000090338 0 0 0 0 0 0 0 0
ENSMUSG00000078363 0 0 0 0 0 0 0 0
ENSMUSG00000078739 0 0 0 0 0 0 0 0
ENSMUSG00000078736 0 0 0 0 0 0 0 0
ENSMUSG00000078362 0 0 0 0 0 0 0 0
ENSMUSG00000078361 0 0 0 0 0 0 0 0
ENSMUSG00000078735 0 0 0 0 0 0 0 0
ENSMUSG00000078734 3 0 0 0 0 0 0 0
ENSMUSG00000078732 0 0 0 0 0 0 0 0
ENSMUSG00000078731 0 0 0 0 0 0 0 0
ENSMUSG00000078729 0 0 0 0 0 0 0 0
ENSMUSG00000078360 0 0 0 0 0 0 0 0
ENSMUSG00000083726 0 0 0 0 0 0 0 0
ENSMUSG00000073873 0 0 0 0 0 0 0 0
ENSMUSG00000073874 1 0 0 0 0 0 0 0
ENSMUSG00000078727 0 0 0 0 0 0 0 0
ENSMUSG00000073872 0 0 0 0 0 0 0 0
ENSMUSG00000073871 0 0 0 0 0 0 0 0
ENSMUSG00000078725 0 0 0 0 0 0 0 0
ENSMUSG00000073869 0 0 0 0 0 0 0 0
ENSMUSG00000066202 0 0 0 0 0 0 0 0
ENSMUSG00000066201 0 0 0 0 0 0 0 0
ENSMUSG00000055406 0 0 0 0 0 0 0 0
ENSMUSG00000073868 0 0 0 0 0 0 0 0
ENSMUSG00000054885 0 0 0 0 0 0 0 0
ENSMUSG00000085910 0 0 0 0 0 0 0 0
ENSMUSG00000071005 0 0 0 0 0 0 0 0
ENSMUSG00000071003 0 0 0 0 0 0 0 0
ENSMUSG00000078722 0 0 0 0 0 0 0 0
ENSMUSG00000078721 0 1 0 0 0 0 0 0
ENSMUSG00000050141 0 0 0 0 0 0 0 0
ENSMUSG00000036062 48 49 20 43 1 0 0 1
ENSMUSG00000036052 257 305 183 191 3 9 7 14
ENSMUSG00000028451 6 15 28 17 2 2 4 8
ENSMUSG00000028452 4368 3378 3613 3365 94 69 77 106
ENSMUSG00000028453 1436 1615 1533 1707 26 26 25 36
ENSMUSG00000028454 2047 2352 1784 2282 40 44 44 53
ENSMUSG00000028455 3216 2275 2384 1934 41 41 32 47
ENSMUSG00000091065 0 0 0 4 0 0 0 0
ENSMUSG00000036002 483 460 382 558 15 16 12 17
ENSMUSG00000086983 9 2 14 5 0 1 0 0
ENSMUSG00000028456 223 291 224 165 15 14 8 11
ENSMUSG00000077552 0 0 0 0 0 0 0 0
ENSMUSG00000089028 0 3 0 0 0 0 0 0
ENSMUSG00000028457 186 173 21 80 2 2 1 2
ENSMUSG00000035969 1041 1161 636 695 34 59 16 36
ENSMUSG00000042788 1 1 0 0 0 3 0 0
ENSMUSG00000028458 1270 1410 894 1144 41 32 22 15
ENSMUSG00000028459 1228 1280 75 74 19 13 2 2
ENSMUSG00000028460 0 5 0 14 0 0 1 0
ENSMUSG00000088088 194 258 70 168 3619 3761 3517 4263
ENSMUSG00000028461 1301 927 967 846 22 31 11 23
ENSMUSG00000051517 1916 2023 1834 2323 31 37 28 56
ENSMUSG00000087142 369 353 318 368 1 9 3 7
ENSMUSG00000028463 670 613 560 711 12 13 13 20
ENSMUSG00000028464 345 354 142 101 7 8 3 0
ENSMUSG00000028465 44409 47141 41393 49679 1273 1286 1334 1637
ENSMUSG00000028466 660 841 683 674 23 31 13 28
ENSMUSG00000028467 2912 3261 2640 3005 69 61 60 85
ENSMUSG00000028468 5896 6564 5183 6605 114 120 115 140
ENSMUSG00000078719 0 0 0 0 0 0 0 0
ENSMUSG00000085351 3 13 3 25 0 0 0 0
ENSMUSG00000092675 9 4 4 0 1 0 0 0
ENSMUSG00000086043 104 210 22 107 2 4 1 5
ENSMUSG00000028469 924 1170 324 388 18 26 5 8
ENSMUSG00000066196 33 66 33 49 1 0 1 4
ENSMUSG00000028470 1047 955 795 780 15 18 10 21
ENSMUSG00000043633 18 27 48 15 1 0 0 0
ENSMUSG00000043770 0 0 0 0 0 0 0 0
ENSMUSG00000078716 625 646 440 548 18 16 7 19
ENSMUSG00000088947 2 0 0 0 0 0 0 0
ENSMUSG00000050215 0 0 4 3 0 0 0 0
ENSMUSG00000046450 0 0 0 0 0 0 0 0
ENSMUSG00000071001 30 17 0 21 1 0 1 1
ENSMUSG00000028475 8 0 2 4 1 0 0 0
ENSMUSG00000086864 0 0 0 0 0 0 0 0
ENSMUSG00000083417 0 0 0 0 0 0 0 0
ENSMUSG00000044801 0 0 0 0 0 0 0 0
ENSMUSG00000081420 0 0 0 0 0 0 0 0
ENSMUSG00000081329 0 0 0 0 0 0 0 0
ENSMUSG00000059448 0 0 0 0 0 0 0 0
ENSMUSG00000059101 0 7 0 0 0 0 0 0
ENSMUSG00000071000 0 0 0 0 0 0 0 0
ENSMUSG00000028476 430 463 350 422 5 8 11 8
ENSMUSG00000028480 996 1017 1053 819 11 19 29 11
ENSMUSG00000070999 5 7 12 2 0 2 0 1
ENSMUSG00000028478 8252 6773 8677 6360 164 133 155 163
ENSMUSG00000028479 3198 3054 2955 2997 79 73 82 97
ENSMUSG00000088532 0 0 0 0 0 0 0 0
ENSMUSG00000087326 22 29 28 73 0 4 1 2
ENSMUSG00000084274 59 83 51 67 1 3 3 7
ENSMUSG00000035696 6010 6390 6050 6784 139 142 153 208
ENSMUSG00000092677 0 4 0 0 1 0 0 0
ENSMUSG00000035683 1315 1150 1036 1077 31 19 15 22
ENSMUSG00000081127 4 0 0 0 0 0 0 0
ENSMUSG00000083803 2 0 0 0 0 0 0 0
ENSMUSG00000077587 0 0 0 0 0 0 0 0
ENSMUSG00000014030 38 14 84 74 0 2 3 2
ENSMUSG00000092761 0 0 0 0 0 0 0 0
ENSMUSG00000086211 0 0 0 0 0 1 0 0
ENSMUSG00000080916 3 4 0 0 0 0 0 0
ENSMUSG00000035649 2178 2644 1901 2938 50 36 44 82
ENSMUSG00000093332 0 0 0 0 0 0 0 0
ENSMUSG00000084854 0 0 0 5 0 0 0 0
ENSMUSG00000086000 0 0 0 0 0 0 0 0
ENSMUSG00000086205 0 0 0 0 0 0 0 0
ENSMUSG00000035637 984 768 514 534 28 25 18 18
ENSMUSG00000049657 1405 1819 1173 1492 50 55 22 41
ENSMUSG00000070997 21 28 40 31 0 1 2 5
ENSMUSG00000028318 1468 1481 873 850 34 40 17 23
ENSMUSG00000048232 931 868 465 541 27 22 16 12
ENSMUSG00000078713 1947 1142 1280 1010 30 29 18 25
ENSMUSG00000078712 0 0 0 0 0 0 0 0
ENSMUSG00000082628 0 0 0 0 0 0 0 0
ENSMUSG00000035615 2 14 0 0 0 0 0 0
ENSMUSG00000086284 0 0 0 0 0 0 0 0
ENSMUSG00000035601 673 632 531 618 22 11 7 15
ENSMUSG00000028322 2271 1795 1945 1564 36 60 35 44
ENSMUSG00000083541 0 0 0 0 0 0 0 0
ENSMUSG00000035572 1426 1693 1313 1784 41 42 31 34
ENSMUSG00000045973 6248 5973 4845 5123 137 117 118 129
ENSMUSG00000093185 0 0 0 0 0 0 0 0
ENSMUSG00000090906 28 50 10 31 0 0 0 2
ENSMUSG00000044813 683 582 845 610 36 29 20 20
ENSMUSG00000088892 3 0 0 0 1 0 0 0
ENSMUSG00000065322 0 0 0 0 0 0 0 0
ENSMUSG00000081559 884 765 657 637 17 11 12 12
ENSMUSG00000085980 0 0 0 0 0 0 0 0
ENSMUSG00000073860 0 0 0 0 0 0 0 0
ENSMUSG00000085305 0 0 0 0 0 0 0 0
ENSMUSG00000085876 10 10 4 26 0 0 0 1
ENSMUSG00000083685 0 0 0 0 0 0 0 0
ENSMUSG00000035561 506 379 435 406 8 5 7 10
ENSMUSG00000035551 0 0 4 0 0 0 1 0
ENSMUSG00000028327 0 0 5 0 0 0 0 0
ENSMUSG00000035539 39 25 14 15 0 1 0 0
ENSMUSG00000035517 1025 1080 1375 1132 23 19 39 31
ENSMUSG00000028328 191 151 42 57 4 4 0 0
ENSMUSG00000035495 1304 1633 1303 1452 40 38 37 46
ENSMUSG00000088069 0 7 3 0 1 1 0 0
ENSMUSG00000028330 4522 3676 3711 3171 55 60 61 73
ENSMUSG00000028329 555 716 638 634 28 15 17 25
ENSMUSG00000092924 0 5 0 0 0 0 1 0
ENSMUSG00000082194 246 184 208 108 7 3 3 10
ENSMUSG00000081483 17 12 34 3 1 0 0 0
ENSMUSG00000087383 0 0 0 0 0 0 0 0
ENSMUSG00000080816 3 2 3 2 0 0 0 0
ENSMUSG00000070990 0 0 11 29 0 0 2 0
ENSMUSG00000028331 579 601 642 573 8 9 10 10
ENSMUSG00000028332 2477 2185 1236 1078 40 23 26 25
ENSMUSG00000082242 0 0 0 0 0 0 0 0
ENSMUSG00000028333 16920 12226 13974 10052 291 256 239 232
ENSMUSG00000028334 4595 3805 4593 3773 97 79 88 122
ENSMUSG00000039853 1928 1982 1832 2447 52 58 66 77
ENSMUSG00000064410 0 0 0 0 0 0 0 0
ENSMUSG00000085990 36 62 9 32 1 1 1 5
ENSMUSG00000028337 11798 11037 7607 9640 261 237 164 271
ENSMUSG00000039813 1027 1270 609 808 28 42 26 24
ENSMUSG00000039809 8 17 2 3 0 0 0 1
ENSMUSG00000048824 0 0 0 0 0 0 0 0
ENSMUSG00000066191 188 238 82 128 6 12 3 3
ENSMUSG00000081561 0 0 0 0 0 0 0 0
ENSMUSG00000084199 0 0 0 0 0 0 0 0
ENSMUSG00000039774 920 896 368 284 19 15 12 6
ENSMUSG00000081785 4 6 0 10 0 0 0 0
ENSMUSG00000083491 0 0 0 0 0 0 0 0
ENSMUSG00000087500 0 0 0 0 0 0 0 0
ENSMUSG00000028339 28 8 21 34 5 0 1 0
ENSMUSG00000007613 2046 2235 2139 2585 53 56 65 63
ENSMUSG00000081152 285 247 168 271 5 5 2 6
ENSMUSG00000039740 2230 2436 1527 1768 65 50 38 50
ENSMUSG00000053317 1052 665 912 583 18 15 20 7
ENSMUSG00000089349 0 0 0 0 0 0 0 0
ENSMUSG00000085660 0 0 0 0 0 0 0 0
ENSMUSG00000028341 22 17 17 5 1 7 5 5
ENSMUSG00000061455 1976 2353 1846 2578 27 27 37 45
ENSMUSG00000028343 2191 2219 2073 1979 33 32 40 50
ENSMUSG00000087844 0 0 0 0 0 0 0 0
ENSMUSG00000028344 1238 1442 1066 1448 35 36 32 34
ENSMUSG00000081953 19 3 16 20 0 1 0 0
ENSMUSG00000028345 2282 2073 1613 1909 41 47 41 50
ENSMUSG00000039693 809 823 547 417 14 11 10 11
ENSMUSG00000028347 85 76 6 18 0 3 0 1
ENSMUSG00000028348 0 0 0 0 0 0 0 0
ENSMUSG00000080850 0 0 0 0 0 0 0 0
ENSMUSG00000083091 0 0 0 0 0 0 0 0
ENSMUSG00000093240 0 0 0 0 0 0 0 0
ENSMUSG00000082384 0 0 0 0 0 0 0 0
ENSMUSG00000077417 0 0 0 0 0 0 0 0
ENSMUSG00000084787 0 0 0 0 0 0 0 0
ENSMUSG00000083869 0 0 0 0 0 0 0 0
ENSMUSG00000063446 0 0 0 0 0 0 0 0
ENSMUSG00000064782 0 0 0 0 0 0 1 0
ENSMUSG00000081902 0 0 0 0 0 0 0 0
ENSMUSG00000081770 0 1 1 0 0 0 0 0
ENSMUSG00000060317 11 0 20 2 7 1 0 0
ENSMUSG00000082725 0 0 0 0 0 0 0 0
ENSMUSG00000081380 1 2 10 1 0 0 0 0
ENSMUSG00000070985 12 41 41 21 4 0 1 0
ENSMUSG00000084479 0 0 0 0 0 0 0 0
ENSMUSG00000039653 0 0 0 0 0 0 0 0
ENSMUSG00000044018 2041 1976 1827 1457 29 44 32 26
ENSMUSG00000039634 424 438 513 583 6 8 8 9
ENSMUSG00000028307 1 0 9 0 2 2 1 0
ENSMUSG00000039611 1015 714 2116 1856 14 17 33 41
ENSMUSG00000028309 3925 4569 3801 5184 96 88 96 143
ENSMUSG00000039579 12 17 16 14 4 4 1 4
ENSMUSG00000028310 0 0 0 0 0 0 0 0
ENSMUSG00000083153 0 0 0 0 0 0 0 0
ENSMUSG00000081120 2 0 0 0 0 0 0 0
ENSMUSG00000077308 0 0 0 0 0 0 0 0
ENSMUSG00000084116 1 0 2 1 0 0 0 0
ENSMUSG00000039555 0 0 0 0 0 0 0 0
ENSMUSG00000019836 6 5 14 0 8 0 0 0
ENSMUSG00000091678 9 14 2 17 1 1 0 0
ENSMUSG00000087958 0 0 0 0 0 0 0 0
ENSMUSG00000088515 0 0 0 0 0 0 0 0
ENSMUSG00000088954 0 0 0 0 0 0 0 0
ENSMUSG00000064923 0 0 0 0 0 0 0 0
ENSMUSG00000081050 0 0 0 0 0 0 0 0
ENSMUSG00000085515 0 0 0 0 0 0 0 0
ENSMUSG00000082963 0 0 0 0 0 0 0 0
ENSMUSG00000083539 2 2 4 0 0 0 0 0
ENSMUSG00000082267 0 0 0 0 0 0 0 0
ENSMUSG00000083338 32 33 12 33 1 3 2 0
ENSMUSG00000085763 0 3 2 2 0 0 0 0
ENSMUSG00000028312 6102 6960 6548 6813 108 85 97 116
ENSMUSG00000084380 0 0 0 0 0 0 1 0
ENSMUSG00000061619 4 14 1 2 0 0 0 0
ENSMUSG00000028314 0 0 0 0 0 0 0 0
ENSMUSG00000070984 0 0 0 0 0 0 0 0
ENSMUSG00000081975 243 246 231 224 6 4 5 10
ENSMUSG00000089717 0 0 0 0 0 0 0 0
ENSMUSG00000049648 0 0 0 0 0 0 0 0
ENSMUSG00000083937 52 43 49 22 8 0 0 3
ENSMUSG00000051593 0 0 0 0 0 0 0 0
ENSMUSG00000082216 0 0 0 0 0 0 0 0
ENSMUSG00000070983 0 0 0 0 0 0 0 0
ENSMUSG00000015242 0 0 0 0 0 0 0 0
ENSMUSG00000015247 1607 1465 1647 1473 9 16 19 22
ENSMUSG00000015243 1196 2113 812 1355 40 68 36 55
ENSMUSG00000087192 0 0 0 0 0 0 0 0
ENSMUSG00000086947 0 0 0 0 0 0 0 0
ENSMUSG00000073854 22 2 0 2 0 0 0 0
ENSMUSG00000086712 27 8 4 0 0 0 0 0
ENSMUSG00000083735 0 0 0 0 0 0 0 0
ENSMUSG00000086267 0 0 0 0 0 0 0 0
ENSMUSG00000028412 993 958 711 565 21 30 19 14
ENSMUSG00000084970 0 7 0 4 0 0 0 0
ENSMUSG00000054752 657 711 404 322 9 12 7 12
ENSMUSG00000081516 93 74 100 109 2 3 2 3
ENSMUSG00000078702 0 0 0 0 0 0 0 0
ENSMUSG00000028414 761 894 572 911 15 16 12 25
ENSMUSG00000089621 1 0 0 0 0 1 0 0
ENSMUSG00000028417 0 0 6 0 0 0 0 0
ENSMUSG00000084403 94 95 4 5 1 1 0 1
ENSMUSG00000028420 570 551 627 398 14 13 8 6
ENSMUSG00000065887 0 0 0 0 0 0 0 0
ENSMUSG00000083985 6 11 10 5 1 0 0 0
ENSMUSG00000077418 0 0 0 0 0 0 0 0
ENSMUSG00000089552 0 0 0 0 0 0 0 0
ENSMUSG00000086987 0 0 0 0 0 0 0 0
ENSMUSG00000083624 0 0 7 0 0 0 0 0
ENSMUSG00000093183 0 0 0 0 0 0 0 0
ENSMUSG00000081428 0 0 0 0 0 0 0 0
ENSMUSG00000086371 2 0 0 0 0 0 0 0
ENSMUSG00000087077 1 0 0 1 0 0 0 0
ENSMUSG00000083868 0 0 0 0 0 0 0 0
ENSMUSG00000084710 0 0 0 0 0 0 0 0
ENSMUSG00000082111 0 0 0 0 0 0 0 0
ENSMUSG00000060206 278 265 334 336 20 15 14 13
ENSMUSG00000082704 0 0 0 0 0 0 0 0
ENSMUSG00000087614 0 0 0 0 0 0 0 0
ENSMUSG00000081177 0 0 0 0 0 0 0 0
ENSMUSG00000081504 7 5 3 2 1 0 0 0
ENSMUSG00000081542 0 0 0 0 0 0 0 0
ENSMUSG00000077403 0 0 0 0 0 0 0 0
ENSMUSG00000028426 9025 7850 7392 6552 186 155 183 172
ENSMUSG00000084144 1 0 0 0 0 0 0 0
ENSMUSG00000084404 1 0 0 0 0 0 0 0
ENSMUSG00000087070 0 0 0 0 0 0 0 0
ENSMUSG00000086346 0 0 0 0 0 0 0 0
ENSMUSG00000077635 0 0 0 0 0 0 0 0
ENSMUSG00000082952 0 0 0 0 0 0 0 0
ENSMUSG00000003032 538 1373 1088 938 51 52 56 54
